entidade_grupo;id_entidade_grupo;entidade_devedora;regime;ordem;numero_precatorio;situacao;natureza;orcamento;valor_historico;saldo_atualizado;classe;localizacao;peticoes_a_juntar;ultima_fase;possui_herdeiros;possui_cessao;possui_retificador;timestamp_extracao
MUNICÍPIO DO RIO DE JANEIRO;2;PREVI RIO;geral;321º;2024.01061-4;Suspensão Administrativa;Alimentícia;2025;304741.11;458558.50;;;;;;;;2025-12-01 00:05:58.741047
MUNICÍPIO DO RIO DE JANEIRO;2;PREVI RIO;geral;322º;2024.01062-2;Suspensão Administrativa;Alimentícia;2025;565012.39;850011.92;;;;;;;;2025-12-01 00:05:59.088288
MUNICÍPIO DO RIO DE JANEIRO;2;PREVI RIO;geral;323º;2024.01027-4;Ativo;Alimentícia;2025;439733.54;661624.94;;;;;;;;2025-12-01 00:05:59.316467
MUNICÍPIO DO RIO DE JANEIRO;2;PREVI RIO;geral;324º;2024.01122-0;Ativo;Alimentícia;2025;453667.38;682591.80;;;;;;;;2025-12-01 00:05:59.617749
MUNICÍPIO DO RIO DE JANEIRO;2;PREVI RIO;geral;325º;2024.01063-0;Suspensão Administrativa;Alimentícia;2025;717396.39;1079191.22;;;;;;;;2025-12-01 00:05:59.823873
MUNICÍPIO DO RIO DE JANEIRO;2;MUNICÍPIO DO RIO DE JANEIRO;geral;326º;2024.01064-9;Ativo;Alimentícia;2025;472168.38;624977.05;;;;;;;;2025-12-01 00:06:00.075112
MUNICÍPIO DO RIO DE JANEIRO;2;MUNICÍPIO DO RIO DE JANEIRO;geral;327º;2024.01065-7;Ativo;Alimentícia;2025;463088.62;612958.80;;;;;;;;2025-12-01 00:06:00.287032
MUNICÍPIO DO RIO DE JANEIRO;2;GUARDA MUNICIPAL DO RIO DE JANEIRO - GM;geral;328º;2024.01042-8;Ativo;Alimentícia;2025;103611.11;135095.56;;;;;;;;2025-12-01 00:06:00.445178
MUNICÍPIO DO RIO DE JANEIRO;2;PREVI RIO;geral;329º;2024.01068-1;Suspensão Administrativa;Alimentícia;2025;387207.27;486974.83;;;;;;;;2025-12-01 00:06:00.688259
MUNICÍPIO DO RIO DE JANEIRO;2;PREVI RIO;geral;330º;2024.01223-4;Suspensão Administrativa;Alimentícia;2025;422349.97;635385.36;;;;;;;;2025-12-01 00:06:00.814360
MUNICÍPIO DO RIO DE JANEIRO;2;PREVI RIO;geral;321º;2024.01061-4;Suspensão Administrativa;Alimentícia;2025;304741.11;458558.50;;;;;;;;2025-12-01 00:06:02.520037
MUNICÍPIO DO RIO DE JANEIRO;2;PREVI RIO;geral;322º;2024.01062-2;Suspensão Administrativa;Alimentícia;2025;565012.39;850011.92;;;;;;;;2025-12-01 00:06:02.706916
MUNICÍPIO DO RIO DE JANEIRO;2;PREVI RIO;geral;323º;2024.01027-4;Ativo;Alimentícia;2025;439733.54;661624.94;;;;;;;;2025-12-01 00:06:02.859801
MUNICÍPIO DO RIO DE JANEIRO;2;PREVI RIO;geral;324º;2024.01122-0;Ativo;Alimentícia;2025;453667.38;682591.80;;;;;;;;2025-12-01 00:06:02.993708
MUNICÍPIO DO RIO DE JANEIRO;2;PREVI RIO;geral;325º;2024.01063-0;Suspensão Administrativa;Alimentícia;2025;717396.39;1079191.22;;;;;;;;2025-12-01 00:06:03.137974
MUNICÍPIO DO RIO DE JANEIRO;2;MUNICÍPIO DO RIO DE JANEIRO;geral;326º;2024.01064-9;Ativo;Alimentícia;2025;472168.38;624977.05;;;;;;;;2025-12-01 00:06:03.412814
MUNICÍPIO DO RIO DE JANEIRO;2;MUNICÍPIO DO RIO DE JANEIRO;geral;327º;2024.01065-7;Ativo;Alimentícia;2025;463088.62;612958.80;;;;;;;;2025-12-01 00:06:03.510038
