entidade_grupo;id_entidade_grupo;entidade_devedora;regime;ordem;numero_precatorio;situacao;natureza;orcamento;valor_historico;saldo_atualizado;classe;localizacao;peticoes_a_juntar;ultima_fase;possui_herdeiros;possui_cessao;possui_retificador;timestamp_extracao
Estado do Rio de Janeiro;1;FUNDERJ-FUNDAÇÃO DEPARTAMENTO DE ESTRADAS DE RODAGEM-DER RJ;especial;18655º;2023.07905-0;Ativo;Alimentícia;2025;81461.25;144533.10;;;;;;;;2025-11-30 22:45:33.781602
Estado do Rio de Janeiro;1;Estado do Rio de Janeiro;especial;18656º;2023.07906-8;Suspensão Administrativa;Alimentícia;2025;687498.66;1113340.11;;;;;;;;2025-11-30 22:45:33.854716
Estado do Rio de Janeiro;1;Estado do Rio de Janeiro;especial;18657º;2023.07500-3;Ativo;Alimentícia;2025;263348.81;594544.08;;;;;;;;2025-11-30 22:45:33.958247
Estado do Rio de Janeiro;1;Estado do Rio de Janeiro;especial;18658º;2023.07907-6;Ativo;Alimentícia;2025;128406.89;26301.05;;;;;;;;2025-11-30 22:45:34.051024
Estado do Rio de Janeiro;1;Estado do Rio de Janeiro;especial;18659º;2023.07538-0;Ativo;Alimentícia;2025;335303.66;513955.63;;;;;;;;2025-11-30 22:45:34.153037
Estado do Rio de Janeiro;1;Estado do Rio de Janeiro;especial;18660º;2023.07915-7;Ativo;Alimentícia;2025;159628.45;281460.89;;;;;;;;2025-11-30 22:45:34.252080
Estado do Rio de Janeiro;1;RIO-PREVIDÊNCIA (03.066.219/0001-81);especial;18661º;2023.07909-2;Ativo;Alimentícia;2025;167897.98;297677.67;;;;;;;;2025-11-30 22:45:34.339569
Estado do Rio de Janeiro;1;RIO-PREVIDÊNCIA (03.066.219/0001-81);especial;18662º;2023.07535-6;Suspensão Administrativa;Alimentícia;2025;146195.96;31681.74;;;;;;;;2025-11-30 22:45:34.432851
Estado do Rio de Janeiro;1;Estado do Rio de Janeiro;especial;18663º;2023.07911-4;Ativo;Alimentícia;2025;23316.30;68566.87;;;;;;;;2025-11-30 22:45:34.515064
Estado do Rio de Janeiro;1;Estado do Rio de Janeiro;especial;18664º;2023.07526-7;Ativo;Alimentícia;2025;156658.09;66797.92;;;;;;;;2025-11-30 22:45:34.595043
Estado do Rio de Janeiro;1;FUNDERJ-FUNDAÇÃO DEPARTAMENTO DE ESTRADAS DE RODAGEM-DER RJ;especial;18655º;2023.07905-0;Ativo;Alimentícia;2025;81461.25;144533.10;;;;;;;;2025-11-30 22:45:36.164030
Estado do Rio de Janeiro;1;Estado do Rio de Janeiro;especial;18656º;2023.07906-8;Suspensão Administrativa;Alimentícia;2025;687498.66;1113340.11;;;;;;;;2025-11-30 22:45:36.214865
Estado do Rio de Janeiro;1;Estado do Rio de Janeiro;especial;18657º;2023.07500-3;Ativo;Alimentícia;2025;263348.81;594544.08;;;;;;;;2025-11-30 22:45:36.265862
Estado do Rio de Janeiro;1;Estado do Rio de Janeiro;especial;18658º;2023.07907-6;Ativo;Alimentícia;2025;128406.89;26301.05;;;;;;;;2025-11-30 22:45:36.332355
Estado do Rio de Janeiro;1;Estado do Rio de Janeiro;especial;18659º;2023.07538-0;Ativo;Alimentícia;2025;335303.66;513955.63;;;;;;;;2025-11-30 22:45:36.405481
Estado do Rio de Janeiro;1;Estado do Rio de Janeiro;especial;18660º;2023.07915-7;Ativo;Alimentícia;2025;159628.45;281460.89;;;;;;;;2025-11-30 22:45:36.488711
Estado do Rio de Janeiro;1;RIO-PREVIDÊNCIA (03.066.219/0001-81);especial;18661º;2023.07909-2;Ativo;Alimentícia;2025;167897.98;297677.67;;;;;;;;2025-11-30 22:45:36.599705
Estado do Rio de Janeiro;1;RIO-PREVIDÊNCIA (03.066.219/0001-81);especial;18662º;2023.07535-6;Suspensão Administrativa;Alimentícia;2025;146195.96;31681.74;;;;;;;;2025-11-30 22:45:36.706593
Estado do Rio de Janeiro;1;Estado do Rio de Janeiro;especial;18663º;2023.07911-4;Ativo;Alimentícia;2025;23316.30;68566.87;;;;;;;;2025-11-30 22:45:36.783121
Estado do Rio de Janeiro;1;Estado do Rio de Janeiro;especial;18664º;2023.07526-7;Ativo;Alimentícia;2025;156658.09;66797.92;;;;;;;;2025-11-30 22:45:36.865302
Estado do Rio de Janeiro;1;FUNDERJ-FUNDAÇÃO DEPARTAMENTO DE ESTRADAS DE RODAGEM-DER RJ;especial;18655º;2023.07905-0;Ativo;Alimentícia;2025;81461.25;144533.10;;;;;;;;2025-11-30 22:45:38.419448
Estado do Rio de Janeiro;1;Estado do Rio de Janeiro;especial;18656º;2023.07906-8;Suspensão Administrativa;Alimentícia;2025;687498.66;1113340.11;;;;;;;;2025-11-30 22:45:38.460879
Estado do Rio de Janeiro;1;Estado do Rio de Janeiro;especial;18657º;2023.07500-3;Ativo;Alimentícia;2025;263348.81;594544.08;;;;;;;;2025-11-30 22:45:38.506412
Estado do Rio de Janeiro;1;Estado do Rio de Janeiro;especial;18658º;2023.07907-6;Ativo;Alimentícia;2025;128406.89;26301.05;;;;;;;;2025-11-30 22:45:38.547856
Estado do Rio de Janeiro;1;Estado do Rio de Janeiro;especial;18659º;2023.07538-0;Ativo;Alimentícia;2025;335303.66;513955.63;;;;;;;;2025-11-30 22:45:38.589411
Estado do Rio de Janeiro;1;Estado do Rio de Janeiro;especial;18660º;2023.07915-7;Ativo;Alimentícia;2025;159628.45;281460.89;;;;;;;;2025-11-30 22:45:38.633412
