entidade_grupo,id_entidade_grupo,entidade_devedora,regime,ordem,numero_precatorio,situacao,natureza,orcamento,valor_historico,saldo_atualizado,classe,localizacao,peticoes_a_juntar,ultima_fase,possui_herdeiros,possui_cessao,possui_retificador,timestamp_extracao
MUNICÍPIO DO RIO DE JANEIRO,2,MUNICÍPIO DO RIO DE JANEIRO,geral,932º,2024.03671-0,Ativo,Comum,2025,157105.50,215808.08,,,,,,,,2025-12-01 17:59:04.488827
MUNICÍPIO DO RIO DE JANEIRO,2,MUNICÍPIO DO RIO DE JANEIRO,geral,933º,2024.03361-4,Ativo,Comum,2025,81447.54,104390.36,,,,,,,,2025-12-01 17:59:04.519331
MUNICÍPIO DO RIO DE JANEIRO,2,MUNICÍPIO DO RIO DE JANEIRO,geral,934º,2024.03364-9,Ativo,Comum,2025,52528.32,70891.78,,,,,,,,2025-12-01 17:59:04.544992
MUNICÍPIO DO RIO DE JANEIRO,2,MUNICÍPIO DO RIO DE JANEIRO,geral,935º,2024.03373-8,Ativo,Comum,2025,49477.71,66774.70,,,,,,,,2025-12-01 17:59:04.571926
MUNICÍPIO DO RIO DE JANEIRO,2,MUNICÍPIO DO RIO DE JANEIRO,geral,936º,2024.03376-2,Ativo,Comum,2025,49477.71,66774.70,,,,,,,,2025-12-01 17:59:04.597999
MUNICÍPIO DO RIO DE JANEIRO,2,MUNICÍPIO DO RIO DE JANEIRO,geral,937º,2024.03822-5,Ativo,Comum,2025,139391.79,236410.87,,,,,,,,2025-12-01 17:59:04.628072
MUNICÍPIO DO RIO DE JANEIRO,2,MUNICÍPIO DO RIO DE JANEIRO,geral,938º,2024.03350-9,Ativo,Comum,2025,217243.39,258373.41,,,,,,,,2025-12-01 17:59:04.657034
MUNICÍPIO DO RIO DE JANEIRO,2,MUNICÍPIO DO RIO DE JANEIRO,geral,939º,2024.03553-6,Ativo,Comum,2025,59635.40,95008.63,,,,,,,,2025-12-01 17:59:04.684921
MUNICÍPIO DO RIO DE JANEIRO,2,MUNICÍPIO DO RIO DE JANEIRO,geral,940º,2024.03560-9,Ativo,Comum,2025,130622.36,172895.91,,,,,,,,2025-12-01 17:59:04.713624
MUNICÍPIO DO RIO DE JANEIRO,2,MUNICÍPIO DO RIO DE JANEIRO,geral,941º,2024.03562-5,Ativo,Comum,2025,58447.12,81912.71,,,,,,,,2025-12-01 17:59:04.742419
MUNICÍPIO DO RIO DE JANEIRO,2,MUNICÍPIO DO RIO DE JANEIRO,geral,942º,2024.03574-9,Ativo,Comum,2025,271362.97,350801.04,,,,,,,,2025-12-01 17:59:09.319886
MUNICÍPIO DO RIO DE JANEIRO,2,MUNICÍPIO DO RIO DE JANEIRO,geral,943º,2024.03613-3,Suspensão Administrativa,Comum,2025,307770.91,428975.96,,,,,,,,2025-12-01 17:59:09.349866
MUNICÍPIO DO RIO DE JANEIRO,2,MUNICÍPIO DO RIO DE JANEIRO,geral,944º,2024.03528-5,Ativo,Comum,2025,44783.07,56835.87,,,,,,,,2025-12-01 17:59:09.379139
MUNICÍPIO DO RIO DE JANEIRO,2,MUNICÍPIO DO RIO DE JANEIRO,geral,945º,2024.03505-6,Ativo,Comum,2025,102348.75,123010.69,,,,,,,,2025-12-01 17:59:09.408197
MUNICÍPIO DO RIO DE JANEIRO,2,MUNICÍPIO DO RIO DE JANEIRO,geral,946º,2024.03484-0,Ativo,Comum,2025,65162.75,115509.14,,,,,,,,2025-12-01 17:59:09.438816
