entidade_grupo;id_entidade_grupo;entidade_devedora;regime;ordem;numero_precatorio;situacao;natureza;orcamento;valor_historico;saldo_atualizado;classe;localizacao;peticoes_a_juntar;ultima_fase;possui_herdeiros;possui_cessao;possui_retificador;timestamp_extracao
MUNICÍPIO DO RIO DE JANEIRO;2;MUNICÍPIO DO RIO DE JANEIRO;geral;1562º;2025.00704-8;Ativo;Alimentícia;2026;401361.96;558019.14;;;;;;;;2025-12-01 00:05:59.025729
MUNICÍPIO DO RIO DE JANEIRO;2;PREVI RIO;geral;1563º;2025.00851-6;Ativo;Alimentícia;2026;111174.48;132903.97;;;;;;;;2025-12-01 00:05:59.263020
MUNICÍPIO DO RIO DE JANEIRO;2;MUNICÍPIO DO RIO DE JANEIRO;geral;1564º;2025.00870-2;Ativo;Alimentícia;2026;57725.87;78833.37;;;;;;;;2025-12-01 00:05:59.567776
MUNICÍPIO DO RIO DE JANEIRO;2;MUNICÍPIO DO RIO DE JANEIRO;geral;1565º;2025.00898-2;Ativo;Alimentícia;2026;192875.87;253415.42;;;;;;;;2025-12-01 00:05:59.916796
MUNICÍPIO DO RIO DE JANEIRO;2;MUNICÍPIO DO RIO DE JANEIRO;geral;1566º;2025.01004-9;Suspensão Especial Secal - Revisão de Valores;Alimentícia;2026;152209.38;263757.19;;;;;;;;2025-12-01 00:06:00.162985
MUNICÍPIO DO RIO DE JANEIRO;2;MUNICÍPIO DO RIO DE JANEIRO;geral;1567º;2025.01006-5;Suspensão Especial Secal - Revisão de Valores;Alimentícia;2026;127769.21;166479.89;;;;;;;;2025-12-01 00:06:00.354394
MUNICÍPIO DO RIO DE JANEIRO;2;MUNICÍPIO DO RIO DE JANEIRO;geral;1568º;2025.01009-0;Suspensão Especial Secal - Revisão de Valores;Alimentícia;2026;247655.49;274834.22;;;;;;;;2025-12-01 00:06:00.466733
MUNICÍPIO DO RIO DE JANEIRO;2;MUNICÍPIO DO RIO DE JANEIRO;geral;1569º;2025.01010-3;Ativo;Alimentícia;2026;81640.85;101075.79;;;;;;;;2025-12-01 00:06:00.595505
MUNICÍPIO DO RIO DE JANEIRO;2;MUNICÍPIO DO RIO DE JANEIRO;geral;1570º;2025.01011-1;Ativo;Alimentícia;2026;360847.96;454435.39;;;;;;;;2025-12-01 00:06:00.721452
MUNICÍPIO DO RIO DE JANEIRO;2;MUNICÍPIO DO RIO DE JANEIRO;geral;1571º;2025.01013-8;Ativo;Alimentícia;2026;100195.52;108607.91;;;;;;;;2025-12-01 00:06:00.853027
