numero_precatorio;numero_processo;beneficiario;cpf_cnpj_beneficiario;valor_original;valor_atualizado;data_requisicao;data_atualizacao;tipo;status;entidade_devedora;id_entidade;regime;ordem_cronologica;observacoes;timestamp_extracao
2019.06393-4;;Não informado;;51884.13;94598.55;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2019.06377-2;;Não informado;;17294.69;31532.81;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2019.06373-0;;Não informado;;53144.80;98550.00;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2019.06401-9;;Não informado;;2595267.51;4841964.18;;;comum;cancelado;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2019.06397-7;;Não informado;;288363.06;537996.02;;;comum;cancelado;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2019.06396-9;;Não informado;;104815.80;264268.39;;;comum;cancelado;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2019.06490-6;;Não informado;;76483.99;196895.27;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2019.06399-3;;Não informado;;33025.16;64632.78;;;comum;cancelado;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.00029-0;;Não informado;;53406.67;98165.70;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2019.06559-7;;Não informado;;144420.18;318091.27;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2019.06386-1;;Não informado;;123106.59;474703.79;;;comum;cancelado;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.00098-3;;Não informado;;123106.59;474703.79;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2019.06599-6;;Não informado;;246213.19;949407.63;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.00062-2;;Não informado;;135272.69;258559.54;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.00073-8;;Não informado;;25770.68;50175.81;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.00124-6;;Não informado;;133506.20;238337.76;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.00101-7;;Não informado;;204831.17;386375.57;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.00116-5;;Não informado;;54502.46;101447.81;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.00097-5;;Não informado;;17396.16;32374.57;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.00091-6;;Não informado;;37618652.62;67686691.82;;;comum;cancelado;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.00094-0;;Não informado;;78031.94;153495.50;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.00206-4;;Não informado;;1121765.12;3007996.74;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.00169-6;;Não informado;;1766689.36;3208924.80;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.00178-5;;Não informado;;92624.00;369759.68;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.00173-4;;Não informado;;61749.33;246506.44;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.00210-2;;Não informado;;92624.00;369759.68;;;comum;cancelado;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.00203-0;;Não informado;;49895.77;103112.18;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.00241-2;;Não informado;;116848.70;302528.79;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.00230-7;;Não informado;;23836.61;46200.34;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.00235-8;;Não informado;;588570.33;1030940.18;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.00248-0;;Não informado;;140266.67;253290.31;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2019.06449-3;;Não informado;;41300.00;100348.73;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.00329-0;;Não informado;;38797.95;66965.07;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.00309-5;;Não informado;;28002.38;86642.88;;;comum;cancelado;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.00882-8;;Não informado;;28002.38;86642.88;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.00501-2;;Não informado;;115237.19;357927.96;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2019.06498-1;;Não informado;;115237.19;357927.96;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2019.06486-8;;Não informado;;34071.71;73996.29;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2019.06541-4;;Não informado;;251589.24;473819.01;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2019.06513-9;;Não informado;;39008.48;70902.57;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
